# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_rats_kitchen_v1_sgedit_gmod
# Exported by: Werewolf12 #FixTF2
setting:	replacespawns 0
weapon_ttt_smokegrenade	-269.631226 -1167.424683 2292.185059	-1.643 -1.464 -0.901
weapon_ttt_smokegrenade	-204.682800 -861.154602 2292.196045	-1.235 -1.496 -0.677
weapon_ttt_smokegrenade	-188.044113 -242.570389 2277.758301	-50.367 36.841 -86.651
weapon_ttt_smokegrenade	-368.820831 -172.133789 2276.171875	-2.123 -1.402 -1.161
weapon_ttt_smokegrenade	-228.394226 -396.021942 1708.193604	-1.331 -1.490 -0.730
weapon_ttt_smokegrenade	-408.438690 -410.611328 1708.187500	-1.547 -1.475 -0.848
weapon_ttt_smokegrenade	-742.717957 -72.942665 1732.169067	-2.224 -1.359 -1.215
weapon_ttt_smokegrenade	-952.400696 -74.001953 1732.201172	-1.048 -1.502 -0.574
weapon_ttt_smokegrenade	-1145.872925 -65.984978 1732.171875	-2.121 -1.402 -1.163
weapon_ttt_smokegrenade	-686.298645 -314.332733 1348.188232	-1.524 -1.475 -0.836
weapon_ttt_smokegrenade	-884.640930 -304.108429 1348.181396	-1.772 -1.448 -0.971
weapon_ttt_smokegrenade	-1333.514526 -228.841400 1349.490723	18.465 47.414 -89.321
weapon_ttt_smokegrenade	-1759.972412 -107.859100 1348.195557	-1.254 -1.495 -0.687
weapon_ttt_smokegrenade	-2224.432617 -38.714329 1348.153931	-2.782 -1.170 -1.525
weapon_ttt_smokegrenade	-2429.233398 0.114444 1348.191162	-1.413 -1.484 -0.775
weapon_ttt_smokegrenade	-2347.522949 -482.263458 2133.652832	19.292 55.919 -90.047
weapon_ttt_smokegrenade	-2169.846924 -837.750916 1764.160400	-2.541 -1.297 -1.394
weapon_ttt_smokegrenade	-2229.412598 -1231.507690 1765.787231	-47.498 52.627 -87.271
weapon_ttt_smokegrenade	-2426.059082 -1206.084839 1764.170898	-2.154 -1.401 -1.181
weapon_ttt_smokegrenade	-2290.264404 -694.849365 1764.186768	-1.570 -1.475 -0.861
weapon_ttt_smokegrenade	-1947.587524 -1046.950073 1349.571777	17.048 14.164 -89.815
weapon_ttt_smokegrenade	-1650.134155 -1597.811157 1349.492676	18.269 44.418 -89.055
weapon_ttt_smokegrenade	-1661.369141 -1126.095825 1348.201782	-1.032 -1.504 -0.566
weapon_ttt_smokegrenade	-1653.830933 -809.409485 1348.183838	-1.692 -1.464 -0.928
weapon_ttt_smokegrenade	-1687.854370 -634.480042 1348.205811	-0.875 -1.508 -0.480
weapon_ttt_smokegrenade	-1326.925903 -662.120483 1716.168335	-2.253 -1.362 -1.235
weapon_ttt_smokegrenade	-1125.747925 -692.767639 1716.183105	-1.718 -1.464 -0.942
weapon_ttt_smokegrenade	-1341.786987 -603.515991 1716.181519	-1.771 -1.448 -0.971
weapon_ttt_smokegrenade	-1228.598633 -1013.680664 1716.199829	-1.095 -1.502 -0.601
weapon_ttt_smokegrenade	-2326.571777 -656.079041 2292.167480	-2.287 -1.366 -1.254
